,userid,number_of_courses,total_marks
3836,6200,1.0,81.25
3837,6201,1.0,81.0
3838,6202,1.0,84.0
3839,6206,1.0,71.0
3840,6208,3.0,151.0
3841,6210,3.0,213.72
3842,6213,1.0,70.8
3843,6216,4.0,327.5
3844,6217,3.0,236.5
3845,6221,1.0,86.0
3846,6223,3.0,152.0
3847,6224,3.0,161.0
3848,6225,3.0,162.0
3849,6226,2.0,171.4
3850,6227,2.0,70.0
3851,6228,1.0,0.0
3852,6229,2.0,165.0
3853,6230,2.0,175.0
3854,6231,2.0,167.5
3855,6232,3.0,207.5
3856,6233,2.0,159.5
3857,6236,1.0,75.6
3858,6238,1.0,83.0
3859,6243,5.0,411.09
3860,6244,7.0,559.6800000000001
3861,6245,7.0,601.3499999999999
3862,6246,7.0,441.54
3863,6247,7.0,460.32
3864,6248,2.0,140.0
3865,6249,2.0,148.62
3866,6251,2.0,145.0
3867,6253,3.0,181.25
3868,6254,2.0,164.0
3869,6255,3.0,237.0
3870,6256,2.0,152.5
3871,6258,4.0,253.7
3872,6259,3.0,190.5
3873,6260,3.0,236.5
3874,6261,3.0,173.0
3875,6262,2.0,120.0
3876,6263,3.0,146.5
3877,6264,4.0,230.5
3878,6265,2.0,145.0
3879,6266,4.0,214.5
3880,6267,4.0,312.0
3881,6269,3.0,150.0
3882,6270,6.0,383.5
3883,6271,2.0,70.0
3884,6272,3.0,162.0
3885,6274,2.0,161.0
3886,6275,5.0,273.0
3887,6276,4.0,222.0
3888,6277,1.0,66.0
3889,6278,4.0,315.5
3890,6279,2.0,161.0
3891,6280,7.0,459.1
3892,6282,6.0,365.3
3893,6283,2.0,123.5
3894,6285,6.0,352.2
3895,6286,7.0,479.19
3896,6287,7.0,389.9
3897,6288,7.0,540.73
3898,6289,7.0,495.8
3899,6291,6.0,373.85
3900,6292,7.0,511.3
3901,6293,7.0,454.6
3902,6294,6.0,318.4
3903,6295,7.0,426.1
3904,6296,6.0,420.7
3905,6297,7.0,488.0
3906,6298,6.0,430.0
3907,6299,7.0,506.38
3908,6300,7.0,452.51
3909,6302,6.0,453.24
3910,6303,7.0,592.5
3911,6304,7.0,589.6
3912,6305,7.0,483.02
3913,6306,7.0,546.5
3914,6307,7.0,493.43
3915,6308,7.0,482.3
3916,6309,7.0,548.1
3917,6310,6.0,407.97
3918,6311,7.0,578.7
3919,6312,8.0,660.35
3920,6313,7.0,461.3
3921,6314,7.0,566.2
3922,6315,7.0,578.8
3923,6316,7.0,517.5
3924,6317,7.0,534.1
3925,6318,7.0,497.3
3926,6320,7.0,611.4
3927,6321,7.0,511.5
3928,6322,7.0,554.47
3929,6323,7.0,504.7
3930,6324,7.0,501.7
3931,6325,7.0,407.23
3932,6326,7.0,585.9000000000001
3933,6327,7.0,471.9
3934,6328,6.0,448.73
3935,6329,7.0,483.0
3936,6330,7.0,586.8
3937,6331,7.0,483.6
3938,6332,7.0,609.0
3939,6333,7.0,536.0
3940,6334,7.0,507.93
3941,6335,7.0,515.9
3942,6336,7.0,538.5
3943,6337,7.0,520.0
3944,6338,7.0,528.0
3945,6339,7.0,529.5
3946,6340,8.0,651.8
3947,6341,7.0,576.27
3948,6342,7.0,533.9300000000001
3949,6343,7.0,510.2000000000001
3950,6344,7.0,465.3
3951,6345,7.0,481.0
3952,6346,7.0,538.1
3953,6347,7.0,537.1
3954,6348,6.0,423.37
3955,6349,7.0,495.3
3956,6350,7.0,490.1
3957,6351,7.0,518.5
3958,6352,7.0,475.1
3959,6353,7.0,492.4
3960,6354,7.0,465.58
3961,6355,7.0,500.74
3962,6356,7.0,562.25
3963,6357,7.0,530.1
3964,6358,6.0,329.1
3965,6359,7.0,487.0
3966,6360,7.0,522.8
3967,6361,7.0,568.1
3968,6362,7.0,442.97
3969,6363,7.0,518.5
3970,6364,7.0,523.3
3971,6365,6.0,408.0
3972,6366,6.0,392.8
3973,6367,6.0,422.11
3974,6368,7.0,493.3
3975,6369,7.0,555.6
3976,6370,7.0,515.1
3977,6371,7.0,500.9
3978,6372,7.0,497.5
3979,6373,7.0,466.27
3980,6374,7.0,497.43
3981,6375,7.0,442.82
3982,6376,7.0,487.9
3983,6377,6.0,375.85
3984,6378,7.0,540.8299999999999
3985,6379,7.0,502.1
3986,6380,7.0,494.9
3987,6381,7.0,600.8
3988,6382,7.0,561.07
3989,6384,7.0,300.20000000000005
3990,6385,6.0,256.73
3991,6387,7.0,361.0
3992,6388,7.0,374.9
3993,6389,7.0,426.52
3994,6390,7.0,584.5
3995,6391,6.0,494.01
3996,6392,7.0,602.9
3997,6393,7.0,605.6
3998,6394,7.0,562.0
3999,6395,7.0,506.4
4000,6396,7.0,487.6
4001,6397,7.0,510.5
4002,6398,7.0,568.1
4003,6399,7.0,610.6
4004,6400,7.0,459.02
4005,6401,7.0,565.4
4006,6402,7.0,556.3
4007,6403,7.0,526.62
4008,6404,7.0,601.5
4009,6405,8.0,665.9
4010,6406,7.0,522.26
4011,6407,7.0,529.0
4012,6408,7.0,511.9
4013,6409,7.0,550.7
4014,6410,7.0,494.7
4015,6411,7.0,483.3
4016,6412,7.0,585.99
4017,6413,7.0,500.4
4018,6414,7.0,471.52
4019,6415,7.0,483.1
4020,6416,6.0,422.32
4021,6417,7.0,475.5
4022,6418,7.0,542.9300000000001
4023,6419,7.0,517.23
4024,6420,8.0,524.4300000000001
4025,6421,7.0,317.13
4026,6422,7.0,538.63
4027,6423,7.0,457.81
4028,6424,7.0,447.32
4029,6425,8.0,628.95
4030,6426,8.0,652.65
4031,6427,8.0,534.7
4032,6428,7.0,527.2
4033,6429,8.0,566.0699999999999
4034,6430,7.0,542.1
4035,6431,6.0,299.0
4036,6433,7.0,506.73
4037,6434,7.0,386.7
4038,6435,7.0,364.54
4039,6436,7.0,578.95
4040,6437,8.0,483.2
4041,6438,7.0,462.4
4042,6439,6.0,366.7
4043,6440,7.0,466.45
4044,6441,7.0,441.4
4045,6442,7.0,496.2000000000001
4046,6443,7.0,380.03
4047,6444,7.0,535.1
4048,6447,6.0,447.4
4049,6448,2.0,128.0
4050,6449,6.0,431.04
4051,6450,8.0,619.63
4052,6451,7.0,543.0
4053,6452,7.0,507.87
4054,6453,7.0,521.6
4055,6454,6.0,394.27
4056,6455,8.0,528.09
4057,6456,6.0,461.3
4058,6457,6.0,454.3
4059,6458,6.0,424.96
4060,6459,2.0,164.0
4061,6460,1.0,95.0
4062,6461,6.0,415.77
4063,6462,6.0,468.14
4064,6463,6.0,271.4
4065,6464,6.0,434.58
4066,6465,7.0,512.8399999999999
4067,6466,7.0,499.96
4068,6467,8.0,524.51
4069,6468,7.0,424.24
4070,6469,6.0,475.5
4071,6470,6.0,351.36
4072,6471,7.0,514.75
4073,6472,6.0,446.44
4074,6473,6.0,365.77
4075,6474,6.0,460.81
4076,6475,6.0,365.76
4077,6476,7.0,499.44
4078,6477,7.0,522.78
4079,6478,6.0,416.76
4080,6479,6.0,458.5799999999999
4081,6480,6.0,427.0100000000001
4082,6481,7.0,500.63
4083,6482,6.0,462.49
4084,6483,7.0,509.58
4085,6484,7.0,536.05
4086,6485,7.0,577.94
4087,6486,1.0,89.0
4088,6487,7.0,328.1
4089,6488,8.0,651.0
4090,6489,1.0,0.0
4091,6490,7.0,476.1
4092,6491,6.0,518.0
4093,6492,6.0,414.9
4094,6494,6.0,420.7
4095,6495,3.0,266.0
4096,6496,7.0,430.9
4097,6497,6.0,530.3
4098,6498,7.0,427.6
4099,6500,8.0,632.81
4100,6501,4.0,268.7
4101,6506,7.0,534.06
4102,6508,7.0,560.12
4103,6509,6.0,388.66
4104,6510,7.0,464.7
4105,6511,6.0,486.47
4106,6513,6.0,470.11
4107,6514,6.0,442.16
4108,6515,7.0,573.29
4109,6516,6.0,492.83
4110,6517,6.0,478.13
4111,6518,7.0,529.0
4112,6519,8.0,565.81
4113,6520,7.0,600.5699999999999
4114,6521,6.0,502.7
4115,6522,6.0,452.88
4116,6523,6.0,465.32
4117,6524,7.0,644.29
4118,6525,6.0,506.58
4119,6526,7.0,630.05
4120,6527,6.0,442.11
4121,6528,6.0,354.32
4122,6532,2.0,167.0
4123,6533,5.0,353.92999999999995
4124,6535,5.0,174.70000000000002
4125,6536,6.0,503.21
4126,6538,6.0,422.0
4127,6539,4.0,307.33
4128,6540,5.0,420.16
4129,6550,6.0,419.5
4130,6552,4.0,349.8
4131,6556,3.0,166.7
4132,6557,7.0,497.8
4133,6562,2.0,163.0
4134,6567,2.0,137.5
4135,6568,1.0,84.5
4136,6569,2.0,173.75
4137,6572,2.0,177.0
4138,6573,3.0,233.0
4139,6574,1.0,78.75
4140,6575,2.0,75.0
4141,6576,3.0,244.5
4142,6577,2.0,68.0
4143,6578,3.0,216.25
4144,6579,4.0,298.25
4145,6580,5.0,279.0
4146,6581,5.0,288.75
4147,6583,4.0,297.75
4148,6584,5.0,349.0
4149,6585,2.0,160.5
4150,6586,2.0,132.0
4151,6588,3.0,189.1
4152,6589,1.0,72.5
4153,6592,1.0,83.5
4154,6593,1.0,64.6
4155,6595,2.0,148.0
4156,6596,2.0,149.0
4157,6597,1.0,77.0
4158,6598,1.0,56.0
4159,6599,2.0,130.0
4160,6600,2.0,121.25
4161,6601,1.0,65.0
4162,6603,1.0,67.8
4163,6604,1.0,0.0
4164,6605,3.0,147.0
4165,6607,3.0,242.5
4166,6608,3.0,208.0
4167,6609,4.0,297.0
4168,6610,3.0,201.0
4169,6611,2.0,166.0
4170,6612,3.0,193.0
4171,6614,4.0,289.1
4172,6615,3.0,230.3
4173,6616,4.0,231.5
4174,6617,3.0,165.5
4175,6618,3.0,249.7
4176,6621,1.0,73.0
4177,6622,4.0,297.5
4178,6623,5.0,321.7
4179,6624,2.0,169.15
4180,6625,3.0,159.1
4181,6626,2.0,131.9
4182,6627,2.0,113.45
4183,6628,2.0,132.4
4184,6629,3.0,218.3
4185,6631,3.0,145.0
4186,6632,2.0,137.8
4187,6633,4.0,370.73
4188,6634,3.0,245.9
4189,6635,3.0,199.0
4190,6636,3.0,195.0
4191,6637,5.0,362.53
4192,6638,5.0,404.69999999999993
4193,6639,5.0,415.36
4194,6640,1.0,73.0
4195,6642,3.0,244.75
4196,6643,3.0,160.0
4197,6644,2.0,65.03
4198,6645,1.0,65.4
4199,6646,2.0,140.10000000000002
4200,6647,1.0,0.0
4201,6648,1.0,69.9
4202,6649,3.0,224.3
4203,6651,2.0,173.0
4204,6653,2.0,137.2
4205,6654,2.0,147.4
4206,6655,3.0,224.0
4207,6656,3.0,247.5
4208,6657,2.0,74.0
4209,6658,1.0,83.0
4210,6659,5.0,352.26
4211,6660,1.0,83.3
4212,6661,1.0,76.6
4213,6664,6.0,417.7
4214,6665,5.0,369.4
4215,6666,5.0,420.7
4216,6668,5.0,305.5
4217,6670,6.0,432.8
4218,6671,7.0,427.5
4219,6672,7.0,525.5
4220,6673,4.0,209.6
4221,6674,3.0,239.5
4222,6675,4.0,241.35
4223,6676,5.0,337.90000000000003
4224,6678,4.0,257.1
4225,6682,3.0,273.65
4226,6686,2.0,0.0
4227,6687,1.0,0.0
4228,6692,2.0,91.5
4229,6697,8.0,628.0
4230,6699,7.0,433.0
4231,6700,7.0,552.8
4232,6701,7.0,545.9
4233,6702,7.0,533.4
4234,6703,7.0,527.0
4235,6704,8.0,600.9
4236,6705,7.0,549.5
4237,6706,7.0,515.0
4238,6707,7.0,476.1
4239,6708,7.0,547.7
4240,6709,7.0,482.0
4241,6710,7.0,480.85
4242,6711,7.0,452.75
4243,6712,7.0,464.5
4244,6713,7.0,520.6
4245,6714,7.0,502.8
4246,6715,1.0,72.0
4247,6716,9.0,669.0
4248,6717,8.0,570.02
4249,6718,8.0,573.5
4250,6719,7.0,539.51
4251,6720,8.0,602.97
4252,6721,7.0,509.0
4253,6722,8.0,667.47
4254,6723,8.0,590.0
4255,6726,7.0,495.3
4256,6727,9.0,673.0
4257,6728,8.0,591.0
4258,6729,6.0,442.7
4259,6730,2.0,48.0
4260,6738,8.0,570.5
4261,6739,7.0,543.0
4262,6740,7.0,481.0
4263,6741,8.0,558.5
4264,6742,8.0,572.5
4265,6743,6.0,500.9
4266,6744,6.0,437.0
4267,6745,3.0,236.0
4268,6747,9.0,620.0
4269,6748,8.0,630.0
4270,6749,6.0,360.09
4271,6750,7.0,597.5
4272,6751,7.0,509.75
4273,6752,8.0,610.0
4274,6754,8.0,576.0
4275,6755,8.0,575.0
4276,6756,8.0,611.0
4277,6757,8.0,571.5
4278,6758,8.0,560.0
4279,6759,5.0,420.43
4280,6760,8.0,679.5
4281,6761,1.0,75.0
4282,6762,7.0,559.0
4283,6763,8.0,632.15
4284,6764,7.0,513.34
4285,6765,6.0,443.49
4286,6766,7.0,564.41
4287,6767,6.0,489.4
4288,6768,6.0,487.41
4289,6769,6.0,430.88
4290,6770,6.0,508.62
4291,6771,7.0,475.15
4292,6772,7.0,472.2
4293,6773,7.0,525.0
4294,6774,6.0,480.99
4295,6775,7.0,552.8
4296,6776,1.0,82.0
4297,6777,7.0,529.0
4298,6778,8.0,582.71
4299,6779,6.0,450.65
4300,6780,6.0,455.29
4301,6781,7.0,570.69
4302,6782,6.0,520.24
4303,6783,6.0,447.88
4304,6784,6.0,420.67
4305,6785,6.0,424.8299999999999
4306,6786,7.0,532.1800000000001
4307,6787,6.0,457.99
4308,6788,6.0,502.99
4309,6789,6.0,472.1
4310,6790,6.0,447.75
4311,6791,7.0,552.8100000000001
4312,6792,7.0,508.06
4313,6793,6.0,409.51
4314,6794,5.0,372.65
4315,6795,5.0,367.04
4316,6796,6.0,448.65
4317,6797,6.0,465.97
4318,6798,6.0,501.48
4319,6799,7.0,561.0
4320,6800,6.0,416.99
4321,6801,6.0,473.0
4322,6802,6.0,490.03
4323,6803,7.0,469.13
4324,6804,7.0,510.51
4325,6805,7.0,507.56
4326,6806,7.0,529.81
4327,6808,7.0,597.8
4328,6809,7.0,552.2
4329,6810,7.0,465.5
4330,6811,8.0,566.3
4331,6812,6.0,436.0
4332,6813,7.0,435.9
4333,6814,8.0,612.0
4334,6815,7.0,537.0
4335,6816,8.0,549.5
4336,6817,8.0,521.6
4337,6818,7.0,501.0
4338,6819,7.0,574.0
4339,6820,6.0,444.0
4340,6821,7.0,533.0
4341,6822,7.0,548.0
4342,6823,8.0,606.0
4343,6824,7.0,519.0
4344,6825,6.0,462.0
4345,6826,6.0,474.0
4346,6827,6.0,459.0
4347,6828,6.0,486.0
4348,6829,7.0,580.0
4349,6830,6.0,434.0
4350,6831,8.0,551.5
4351,6832,7.0,559.0
4352,6833,6.0,463.0
4353,6834,6.0,457.0
4354,6835,7.0,537.5
4355,6836,6.0,435.0
4356,6837,6.0,523.1700000000001
4357,6838,8.0,642.0
4358,6839,7.0,490.0
4359,6840,7.0,428.0
4360,6841,4.0,272.0
4361,6842,8.0,585.0
4362,6843,8.0,632.5
4363,6844,7.0,540.5
4364,6845,8.0,595.4
4365,6846,8.0,614.5
4366,6847,8.0,626.5
4367,6848,7.0,515.0
4368,6849,8.0,616.0
4369,6850,8.0,603.1
4370,6851,8.0,638.0
4371,6852,7.0,512.0
4372,6853,8.0,603.4
4373,6854,7.0,528.0
4374,6855,7.0,453.0
4375,6856,8.0,573.5
4376,6857,8.0,602.0
4377,6858,8.0,625.5
4378,6859,8.0,579.0
4379,6860,7.0,507.5
4380,6861,8.0,628.0
4381,6862,7.0,518.0
4382,6864,1.0,84.0
4383,6872,7.0,465.4
4384,6873,8.0,661.0
4385,6874,8.0,651.2
4386,6875,8.0,574.0
4387,6876,8.0,675.0
4388,6877,6.0,496.0
4389,6878,7.0,481.5
4390,6879,8.0,620.5
4391,6880,8.0,632.0
4392,6881,8.0,616.0
4393,6882,8.0,615.5
4394,6883,8.0,707.5
4395,6884,8.0,652.9
4396,6885,7.0,531.0
4397,6886,7.0,446.0
4398,6887,6.0,388.0
4399,6888,6.0,484.0
4400,6889,6.0,401.0
4401,6890,7.0,480.3
4402,6891,6.0,503.83
4403,6892,7.0,500.85
4404,6893,4.0,288.5
4405,6894,6.0,2.0
4406,6895,5.0,390.0
4407,6896,6.0,469.5
4408,6897,6.0,497.25
4409,6898,6.0,473.0
4410,6899,9.0,663.0
4411,6900,8.0,631.0
4412,6901,6.0,452.0
4413,6902,1.0,85.0
4414,6903,7.0,583.0
4415,6904,7.0,549.0
4416,6905,8.0,600.0
4417,6906,6.0,465.0
4418,6907,7.0,530.0
4419,6908,7.0,570.0
4420,6909,1.0,85.0
4421,6910,8.0,562.0
4422,6911,8.0,570.5
4423,6912,8.0,613.0
4424,6913,8.0,608.5
4425,6914,8.0,566.5
4426,6915,8.0,586.5
4427,6916,8.0,582.5
4428,6917,8.0,597.0
4429,6918,9.0,678.5
4430,6919,8.0,550.0
4431,6920,9.0,679.5
4432,6921,9.0,690.5
4433,6922,8.0,584.0
4434,6923,9.0,672.0
4435,6924,9.0,707.5
4436,6925,9.0,682.5
4437,6926,9.0,632.0
4438,6927,9.0,697.5
4439,6928,4.0,244.0
4440,6929,9.0,742.0
4441,6930,8.0,614.0
4442,6931,9.0,643.1
4443,6932,8.0,633.0
4444,6933,9.0,655.5
4445,6934,9.0,765.0
4446,6935,8.0,636.4
4447,6936,8.0,615.6
4448,6937,8.0,581.1
4449,6938,7.0,570.53
4450,6939,8.0,569.4
4451,6940,8.0,580.9
4452,6941,7.0,581.13
4453,6942,8.0,677.4
4454,6943,8.0,647.9
4455,6944,7.0,557.77
4456,6945,8.0,623.6
4457,6946,8.0,587.8
4458,6947,8.0,641.6
4459,6960,3.0,101.0
4460,6968,1.0,78.0
4461,6990,7.0,546.5
4462,6991,7.0,579.0
4463,6992,6.0,491.0
4464,6993,2.0,15.0
4465,6994,7.0,468.4
4466,6996,1.0,80.0
4467,6997,8.0,603.0
4468,6999,4.0,289.42
4469,7000,4.0,317.0
4470,7004,5.0,408.0
4471,7005,7.0,524.0
4472,7007,4.0,308.2
4473,7008,7.0,548.9
4474,7009,4.0,272.2
4475,7010,1.0,81.0
4476,7011,1.0,93.8
4477,7012,8.0,521.9300000000001
4478,7013,7.0,542.5
4479,7014,7.0,569.68
4480,7015,7.0,552.0
4481,7016,9.0,638.4599999999999
4482,7017,7.0,541.5
4483,7018,6.0,315.3
4484,7019,9.0,603.38
4485,7020,8.0,593.3399999999999
4486,7021,8.0,607.29
4487,7022,7.0,567.0
4488,7023,7.0,571.0
4489,7024,7.0,468.74
4490,7025,7.0,537.5
4491,7026,7.0,519.0
4492,7027,7.0,543.0
4493,7028,7.0,493.0
4494,7029,7.0,525.6
4495,7030,8.0,677.0
4496,7031,7.0,529.9
4497,7032,6.0,419.0
4498,7033,7.0,511.1
4499,7034,7.0,495.5
4500,7035,8.0,589.0
4501,7036,8.0,606.0
4502,7037,7.0,552.0
4503,7038,7.0,511.0
4504,7039,8.0,616.5
4505,7040,8.0,519.5
4506,7041,7.0,531.0
4507,7042,3.0,233.5
4508,7043,6.0,501.0
4509,7044,7.0,562.5
4510,7045,6.0,475.0
4511,7046,7.0,537.0
4512,7047,7.0,458.0
4513,7048,8.0,522.0
4514,7049,7.0,488.5
4515,7050,7.0,527.8
4516,7051,6.0,481.5
4517,7052,7.0,535.0
4518,7053,6.0,495.0
4519,7054,7.0,457.0
4520,7055,7.0,516.5
4521,7056,8.0,596.0
4522,7057,7.0,465.0
4523,7058,7.0,519.0
4524,7059,7.0,519.0
4525,7060,6.0,483.0
4526,7061,6.0,493.0
4527,7062,7.0,580.0
4528,7063,7.0,504.0
4529,7064,7.0,497.1
4530,7065,6.0,495.0
4531,7066,7.0,502.0
4532,7067,7.0,548.8
4533,7068,7.0,529.0
4534,7069,6.0,474.0
4535,7070,7.0,493.0
4536,7071,7.0,490.0
4537,7072,6.0,412.0
4538,7073,8.0,631.0
4539,7074,7.0,478.0
4540,7075,7.0,508.0
4541,7076,7.0,428.5
4542,7077,6.0,443.0
4543,7078,7.0,556.5
4544,7079,7.0,560.5
4545,7080,8.0,667.0
4546,7081,7.0,559.0
4547,7082,6.0,476.0
4548,7083,7.0,544.0
4549,7084,7.0,489.0
4550,7085,7.0,462.0
4551,7086,7.0,594.4
4552,7087,8.0,620.5
4553,7088,6.0,489.0
4554,7089,7.0,518.0
4555,7090,5.0,337.0
4556,7091,7.0,531.0
4557,7092,6.0,385.5
4558,7093,6.0,476.0
4559,7094,7.0,553.0
4560,7095,6.0,469.0
4561,7096,6.0,486.0
4562,7097,7.0,498.0
4563,7098,7.0,559.3
4564,7099,7.0,567.0
4565,7100,8.0,671.0
4566,7101,7.0,515.1700000000001
4567,7102,7.0,542.0
4568,7103,7.0,510.0
4569,7104,6.0,447.5
4570,7105,7.0,438.0
4571,7106,6.0,428.5
4572,7107,6.0,472.0
4573,7108,7.0,453.5
4574,7109,7.0,433.0
4575,7110,7.0,577.0
4576,7111,8.0,576.0
4577,7112,7.0,513.0
4578,7113,7.0,484.0
4579,7114,7.0,560.0
4580,7115,7.0,538.0
4581,7116,7.0,506.0
4582,7117,7.0,533.0
4583,7118,8.0,591.0
4584,7119,7.0,543.0
4585,7120,7.0,552.0
4586,7121,6.0,451.0
4587,7122,6.0,404.0
4588,7123,6.0,485.0
4589,7124,6.0,486.0
4590,7125,5.0,334.0
4591,7126,6.0,427.0
4592,7127,6.0,453.5
4593,7128,7.0,549.0
4594,7129,6.0,467.0
4595,7130,6.0,498.0
4596,7131,8.0,568.5
4597,7149,3.0,188.0
4598,7154,8.0,609.5
4599,7155,8.0,600.0
4600,7156,8.0,619.5
4601,7157,7.0,544.4
4602,7158,7.0,491.0
4603,7159,7.0,550.0
4604,7160,7.0,579.0
4605,7161,7.0,564.0
4606,7162,8.0,587.3299999999999
4607,7163,8.0,604.0
4608,7164,8.0,646.5
4609,7165,6.0,487.0
4610,7166,7.0,557.0
4611,7167,9.0,675.5
4612,7168,8.0,660.0
4613,7169,8.0,565.0
4614,7170,8.0,570.0
4615,7171,8.0,634.0
4616,7172,8.0,606.0
4617,7173,8.0,627.5
4618,7174,8.0,625.5
4619,7175,8.0,580.5
4620,7176,8.0,600.5
4621,7177,7.0,485.0
4622,7178,8.0,633.3
4623,7179,6.0,427.0
4624,7180,8.0,613.0
4625,7181,8.0,591.0
4626,7182,7.0,524.8299999999999
4627,7183,8.0,627.0
4628,7184,8.0,644.0
4629,7185,8.0,591.0
4630,7186,8.0,624.0
4631,7187,8.0,640.0
4632,7188,8.0,627.0
4633,7189,7.0,543.0
4634,7190,8.0,666.0
4635,7191,8.0,605.0
4636,7192,8.0,595.0
4637,7193,7.0,533.0
4638,7194,8.0,633.0
4639,7195,6.0,445.5
4640,7196,8.0,663.1700000000001
4641,7197,8.0,671.5
4642,7198,8.0,577.5
4643,7199,7.0,518.5
4644,7200,7.0,540.5
4645,7201,7.0,531.5
4646,7202,8.0,608.0
4647,7203,7.0,465.0
4648,7204,8.0,571.0
4649,7205,7.0,515.0
4650,7206,8.0,651.0
4651,7207,8.0,667.5
4652,7208,8.0,630.5
4653,7209,6.0,472.0
4654,7210,8.0,594.0
4655,7211,8.0,617.5
4656,7212,8.0,588.5
4657,7213,8.0,634.0
4658,7214,8.0,633.0
4659,7215,8.0,587.5
4660,7216,7.0,545.0
4661,7217,8.0,617.0
4662,7218,8.0,639.0
4663,7219,8.0,592.5
4664,7220,7.0,519.5
4665,7221,8.0,645.0
4666,7222,8.0,624.5
4667,7223,8.0,626.0
4668,7224,8.0,609.5
4669,7225,7.0,583.5
4670,7226,8.0,679.0
4671,7227,8.0,645.0
4672,7228,7.0,574.5
4673,7229,8.0,569.0
4674,7230,8.0,573.5
4675,7231,8.0,614.0
4676,7232,7.0,497.9
4677,7233,8.0,657.1
4678,7234,8.0,606.5
4679,7235,8.0,639.0
4680,7236,8.0,603.5
4681,7237,8.0,605.0
4682,7238,8.0,557.0
4683,7239,8.0,601.0
4684,7240,7.0,535.0
4685,7241,8.0,660.0
4686,7242,8.0,633.5
4687,7244,8.0,614.0
4688,7245,7.0,543.5
4689,7246,6.0,477.0
4690,7247,8.0,638.5
4691,7248,8.0,629.5
4692,7249,7.0,577.5
4693,7250,7.0,564.0
4694,7251,7.0,538.5
4695,7252,8.0,607.5
4696,7253,7.0,572.5
4697,7254,7.0,555.8299999999999
4698,7255,7.0,529.8299999999999
4699,7256,8.0,605.5
4700,7257,8.0,503.5
4701,7258,6.0,410.0
4702,7259,6.0,502.0
4703,7260,7.0,490.0
4704,7261,7.0,501.0
4705,7262,7.0,551.5
4706,7263,7.0,428.5
4707,7264,7.0,499.0
4708,7265,7.0,585.0
4709,7266,7.0,511.0
4710,7268,6.0,448.0
4711,7269,6.0,523.5
4712,7270,7.0,463.0
4713,7271,6.0,497.0
4714,7272,7.0,545.0
4715,7273,6.0,461.0
4716,7274,7.0,580.0
4717,7275,6.0,454.5
4718,7276,7.0,448.28
4719,7278,6.0,478.42
4720,7279,7.0,522.6700000000001
4721,7282,7.0,533.5799999999999
4722,7283,7.0,552.6700000000001
4723,7284,7.0,559.5799999999999
4724,7285,7.0,573.4000000000001
4725,7286,6.0,456.92
4726,7287,6.0,460.93000000000006
4727,7288,6.0,470.47
4728,7289,6.0,490.44
4729,7290,7.0,449.33
4730,7291,6.0,450.94
4731,7292,6.0,479.78
4732,7293,9.0,605.8299999999999
4733,7294,1.0,78.0
4734,7295,1.0,88.0
4735,7296,1.0,84.0
4736,7297,1.0,90.0
4737,7298,1.0,90.0
4738,7299,1.0,90.0
4739,7300,1.0,93.0
4740,7301,1.0,92.0
4741,7302,1.0,85.0
4742,7303,1.0,81.0
4743,7304,1.0,91.0
4744,7305,6.0,496.0
4745,7306,7.0,526.5
4746,7307,6.0,405.0
4747,7308,4.0,189.4
4748,7309,6.0,431.0
4749,7310,7.0,545.0
4750,7311,6.0,479.0
4751,7312,6.0,434.0
4752,7313,7.0,551.0
4753,7314,6.0,448.0
4754,7315,6.0,468.0
4755,7316,7.0,606.0
4756,7317,6.0,491.0
4757,7318,7.0,563.0
4758,7319,6.0,423.0
4759,7320,7.0,548.6
4760,7321,7.0,490.5
4761,7322,7.0,545.0
4762,7323,7.0,556.0
4763,7324,7.0,587.0
4764,7325,6.0,475.0
4765,7326,7.0,544.8299999999999
4766,7327,7.0,534.0
4767,7328,7.0,549.0
4768,7329,7.0,552.0
4769,7330,7.0,535.0
4770,7331,7.0,532.0
4771,7332,7.0,517.0
4772,7333,7.0,569.0
4773,7334,7.0,557.1
4774,7335,7.0,494.0
4775,7336,7.0,527.0
4776,7337,7.0,527.0
4777,7338,7.0,496.0
4778,7339,6.0,433.0
4779,7340,7.0,497.0
4780,7341,7.0,555.1
4781,7342,7.0,569.0
4782,7343,7.0,548.0
4783,7344,8.0,608.2
4784,7345,7.0,546.0
4785,7346,7.0,530.0
4786,7347,7.0,522.0
4787,7348,6.0,460.0
4788,7349,7.0,595.0
4789,7350,8.0,597.7
4790,7351,7.0,544.0
4791,7352,8.0,599.5
4792,7353,6.0,506.0
4793,7354,7.0,539.0
4794,7355,7.0,521.6
4795,7356,7.0,527.5
4796,7357,7.0,490.5
4797,7358,6.0,471.0
4798,7359,8.0,605.4
4799,7360,6.0,446.0
4800,7361,7.0,454.0
4801,7362,7.0,475.0
4802,7363,6.0,470.0
4803,7364,8.0,605.5
4804,7365,7.0,501.0
4805,7366,6.0,480.0
4806,7367,7.0,456.83
4807,7368,7.0,550.3299999999999
4808,7369,7.0,600.5
4809,7370,6.0,484.5
4810,7371,6.0,526.16
4811,7372,7.0,596.0
4812,7373,6.0,442.0
4813,7374,7.0,595.75
4814,7375,7.0,543.0
4815,7376,7.0,512.0
4816,7377,7.0,505.7
4817,7378,7.0,584.5
4818,7379,7.0,599.8299999999999
4819,7380,7.0,570.5
4820,7381,7.0,584.55
4821,7382,8.0,587.27
